,titles
0,"인수위 ""청와대 관람, 27일 오전 10시부터 카톡·네이버·토스로 신청 가능"""
1,청와대 관람 온라인 신청 시작…한때 홈페이지 접속 지연
2,"청와대 개방 신청 첫날, 신청자 72만명 돌파"
3,"""靑 들어가기 어렵네""…관람예약 첫날, 신청자 2만 명 몰리며 서버 다운"
4,신청 6시간만에 청와대 관람 신청인원 36만명 돌파
5,‘청와대’로 봄나들이 가려면? 오늘(27일)부터 네이버·카톡·토스로 신청
6,"靑 관람신청 144만건 몰려 '서버 다운'…""서버 증설 예정"""
7,"""청와대 가보자""…신청자 폭주에 오픈 직후 네이버·토스 접속 지연"
8,청와대 관람 신청 첫날 '서버 다운'…오픈 1시간 방문자 144만건 초과
9,"청와대 관람 신청 첫날, 6시간 만에 36만명 몰려"
10,청와대 관람 예약 첫날부터 신청 몰려…오전 11시~오후 1시 인기
11,"“스벅 이후 처음”…靑 관람예약, 신청자 몰리면서 서버 다운"
12,"[더뉴스] 청와대 개방 D-13...벌써부터 치열한 사전 관람 신청, 방법은?"
13,"靑관람 신청 첫날 1시간 144만 명 몰려 `서버 다운`…尹 ""실제 2배 더 접속 예상"""
14,"청와대 관람 신청 홈페이지, 신청 첫날 서버 다운"
15,"청와대 관람, 오늘 10시부터 네이버·카카오톡·토스로 신청"
16,동시접속자 2만명 몰려…'전면개방' 靑 관람신청 서버 일시 다운
17,청와대 보러 가자 36만명 관람신청…한때 서버 다운되기도(종합)
18,靑 관람신청 시작하자 서버 다운…1시간 내 동시 사용자 144만건
19,"靑개방 관람 예약, 신청자 대거 몰리며 서버 다운"
20,청와대 관람 신청 첫날 접속자 몰려...한때 서버 다운
21,"청와대 관람, 오늘부터 네이버·카카오톡·토스로 신청"
22,청와대 관람 신청 폭주… 접수첫날 홈피 접속 지연
23,[그래픽뉴스] 청와대 개방
24,"청와대 관람 신청, 오늘 10시부터 네이버·카톡·토스로"
25,[AM-PM] 오늘부터 청와대 관람 신청…네이버·카톡·토스로 外
